,Category,Restaurant Name,Restaurant Price Range,Restaurant Latitude,Restaurant Longitude,neighbourhood_id,neighbourhood_name
0,Afghan,The Host,$11-30,43.669934999999995,-79.39585799999999,95,annex
1,Afghan,Aanch Modernist Indian Cuisine,$11-30,43.644708,-79.39067,77,waterfront communities-the island
2,Afghan,Silk Road Kabob House,Under $10,43.659816,-79.385591,76,bay street corridor
3,Afghan,Naan & Kabob,$11-30,43.669058,-79.3861,75,church-yonge corridor
4,Afghan,Afghan Cuisine,$11-30,43.70807,-79.34150799999999,55,thorncliffe park
5,Afghan,Pamier Kabob,$11-30,43.64721,-79.395473,77,waterfront communities-the island
6,Afghan,Bamiyan Kabob,$11-30,43.773829,-79.492068,27,york university heights
7,Afghan,Kandahar Kabab,$11-30,43.812544,-79.242368,132,malvern
8,Afghan,Afghan Kebob Cuisine,Under $10,43.716049,-79.555686,4,rexdale-kipling
9,Afghan,Bamiyan Kabob,$11-30,43.707861,-79.34336400000001,55,thorncliffe park
10,Afghan,Naan and Kabob,$11-30,43.795206,-79.23978100000001,128,agincourt south-malvern west
11,Afghan,Loga’s Corner,Under $10,43.640353000000005,-79.435923,85,south parkdale
12,Afghan,Christina’s On the Danforth,$11-30,43.678301,-79.349192,67,playter estates-danforth
13,Afghan,Xawaash,$11-30,43.71528,-79.592866,1,west humber-clairville
14,Afghan,Mazar Kabob,$11-30,43.619813,-79.56182199999999,14,islington-city centre west
15,Afghan,Alanoor Afghan Kabob,$11-30,43.780840000000005,-79.298867,118,tam o'shanter-sullivan
16,Afghan,Hot Pot Cafe,Under $10,43.682317,-79.32915600000001,66,danforth
17,Afghan,Naan and Kabob,$11-30,43.775672,-79.258193,127,bendale
18,Afghan,Naan and Kabob,$11-30,43.742424,-79.305327,119,wexford/maryvale
22,Afghan,Afghan Palace,Above $61,43.671586,-79.325058,65,greenwood-coxwell
23,Afghan,Ali Baba Cafe and Restaurant,$11-30,43.765813,-79.281899,126,dorset park
24,African,Rendez-Vous,$11-30,43.68265,-79.327598,66,danforth
25,African,Caribbean Sunset Restaurant and Bar,$11-30,43.659178000000004,-79.34803199999999,70,south riverdale
26,African,African Palace,$11-30,43.661218,-79.429092,80,palmerston-little italy
27,African,Masala Kitchen,Under $10,43.722188,-79.303236,43,victoria village
28,African,Pili Pili,$11-30,43.745006,-79.298415,119,wexford/maryvale
29,African,Mushkaki’s,Under $10,43.711112,-79.567724,1,west humber-clairville
30,African,Pero Restaurant & Lounge,$11-30,43.662795,-79.422739,93,dovercourt-wallace emerson-junction
31,African,MamaLand Resto-Lounge,$11-30,43.658894000000004,-79.442757,93,dovercourt-wallace emerson-junction
32,African,Jikoni Grill,$11-30,43.790718,-79.313213,117,l'amoreaux
33,African,Scotthill Carribean Cuisine,$11-30,43.733943,-79.419534,39,bedford park-nortown
34,African,Twice As Nice,$11-30,43.758947,-79.197739,136,west hill
35,African,Ilhas De Bruma,$31-60,43.652334,-79.433657,84,little portugal
36,African,Memories of Africa,Under $10,43.725543,-79.313151,43,victoria village
37,African,Ethiopiques,$11-30,43.656341999999995,-79.377043,75,church-yonge corridor
38,African,The Suya Spot,$11-30,43.739728,-79.538552,22,humbermede
42,African,Hamdi Restaurant,$11-30,43.714323,-79.557097,4,rexdale-kipling
43,African,Nando’s Flame Grilled Chicken,$11-30,43.661705,-79.38629,76,bay street corridor
44,African,Sahan Restaurant,$11-30,43.74503,-79.296375,119,wexford/maryvale
45,African,Karibu Restaurant,$11-30,43.759277000000004,-79.310422,119,wexford/maryvale
46,African,Simba Grill,$11-30,43.693387,-79.342265,58,old east york
47,African,Nandos Danforth,$11-30,43.678816999999995,-79.34451,69,blake-jones
48,African,Chick Fiesta,$11-30,43.821343,-79.24629499999999,131,rouge
49,African,Caribbean Queen Roti Hut,Under $10,43.600536,-79.50586,18,new toronto
52,African,Nando’s Flame Grilled Chicken,$11-30,43.713034,-79.35975400000001,55,thorncliffe park
53,African,Istar Restaurant,$11-30,43.697632,-79.544214,6,kingsview village-the westway
56,African,Nando’s,$11-30,43.619962,-79.55426800000001,14,islington-city centre west
57,American (Traditional),St. Louis Bar & Grill,$11-30,43.701559,-79.39763,100,yonge-eglinton
58,American (Traditional),Sidecar,$31-60,43.6552,-79.413083,81,trinity-bellwoods
59,American (Traditional),The Stockyards,$11-30,43.681346000000005,-79.426147,94,wychwood
60,American (Traditional),Union Social Eatery,$11-30,43.687795,-79.39506899999999,97,yonge-st.clair
61,American (Traditional),Pig Out BBQ,$11-30,43.663182,-79.402567,79,university
62,American (Traditional),Hendriks Restaurant & Bar,$31-60,43.655536,-79.380934,76,bay street corridor
